Date,XLK,XLV,XLF,XLE,XLY,XLP,XLI,XLU,XLB,XLRE,XLC
2018-01-29,31.63557243347168,79.40335083007812,25.706249237060547,26.760326385498047,50.205780029296875,46.8693962097168,69.73643493652344,19.43822479248047,26.829883575439453,24.109521865844727,46.63604070200494
2018-01-30,31.3494815826416,77.73335266113281,25.37261962890625,26.22049903869629,49.95638275146485,46.55683135986328,69.18809509277344,19.472944259643555,26.635086059570312,24.01092529296875,46.67274837396682
2018-01-31,31.5848331451416,76.62870788574219,25.441057205200195,26.238018035888672,49.79471969604492,46.34042739868164,69.39698791503906,19.688968658447266,26.65626335144043,24.503889083862305,46.854583292160015
2018-02-01,31.61250686645508,76.65481567382812,25.68058204650879,26.5079402923584,49.240474700927734,46.14006805419922,69.27510833740234,19.380367279052734,26.29209327697754,24.05642890930176,47.39678030718724
2018-02-02,30.675811767578125,75.57625579833984,25.11598777770996,25.400230407714844,48.76935958862305,45.25846481323242,67.88248443603516,19.241491317749023,25.60187339782715,23.783401489257812,46.87937185919993
2018-02-05,29.393035888671875,72.22756958007812,23.84992790222168,24.334571838378903,47.12508010864258,43.61547088623047,64.80125427246094,18.9251651763916,24.623695373535156,23.169095993041992,44.84789842259939
2018-02-06,30.23745346069336,73.02774810791016,24.28619956970215,24.52737808227539,48.33057403564453,44.09634780883789,65.98503112792969,18.643566131591797,25.42824935913086,23.12359619140625,45.53788631888467
2018-02-07,29.8498592376709,72.9407958984375,24.303308486938477,24.117246627807617,48.18277359008789,43.90398788452149,66.10685729980469,18.554838180541992,25.199586868286133,23.017419815063477,44.63557281354228
2018-02-08,28.61321449279785,70.40968322753906,23.233999252319336,23.388120651245117,46.261375427246094,42.95827102661133,63.55660629272461,18.34653091430664,24.31457138061523,22.296947479248047,42.559564063092566
2018-02-09,29.314594268798828,71.40995025634766,23.678831100463867,23.37059211730957,46.57084655761719,43.04643249511719,64.2442398071289,18.732288360595703,24.738025665283203,22.820241928100582,43.490040544270535
2018-02-12,29.840620040893555,72.07971954345703,24.012454986572266,23.7526798248291,47.2036018371582,43.48723983764648,65.27999877929688,18.87502098083496,25.237699508666992,22.88090705871582,43.8620053101925
2018-02-13,29.91445541381836,72.13188171386719,24.1151123046875,23.65452766418457,47.44839859008789,43.687599182128906,65.4279556274414,18.959882736206055,25.174182891845703,23.047754287719727,43.49481294759752
2018-02-14,30.463550567626953,72.94947052001953,24.688261032104492,23.99806022644043,48.20587921142578,43.66355514526367,66.25483703613281,18.747716903686523,25.512948989868164,22.903657913208008,44.44616073081439
2018-02-15,31.044958114624023,73.75839233398438,24.825130462646484,23.938467025756836,48.63542175292969,44.38487243652344,67.25578308105469,19.164337158203125,25.70349502563477,23.116010665893555,44.85035678677494
2018-02-16,30.99881362915039,74.28897857666016,24.790918350219727,23.878881454467773,48.399864196777344,44.561187744140625,67.27322387695312,19.334068298339844,25.610336303710938,23.26769256591797,44.673652777879504
2018-02-20,31.0264949798584,73.47136688232422,24.713926315307617,23.74917984008789,48.252044677734375,43.55134963989258,66.59430694580078,19.083324432373047,25.496007919311523,23.032590866088867,44.381229320202046
2018-02-21,30.828081130981445,73.16693878173828,24.748140335083008,23.349559783935547,48.18277359008789,43.0303955078125,66.61170959472656,18.832584381103516,25.40707778930664,22.607887268066406,44.6136249568905
2018-02-22,30.86499786376953,73.05386352539062,24.54283905029297,23.605453491210938,48.24282455444336,43.14259338378906,67.05561065673828,18.92902374267578,25.57645797729492,22.86574935913086,44.58859107747825
2018-02-23,31.510990142822266,74.21937561035156,24.91067886352539,24.117246627807617,48.91716766357422,43.55936050415039,67.6126937866211,19.422792434692383,25.953330993652344,23.28286361694336,45.5537759542043
2018-02-26,32.004730224609375,75.15877532958984,25.28707695007324,24.260967254638672,49.3282356262207,43.83186340332031,68.54401397705078,19.36492919921875,26.06766700744629,23.366287231445312,45.86445880942084
2018-02-27,31.681734085083008,74.37593078613281,25.047550201416016,23.94548225402832,48.28438186645508,43.25480651855469,67.68229675292969,19.05632972717285,25.707733154296875,22.86574935913086,44.836954559279924
2018-02-28,31.455615997314453,73.184326171875,24.69681930541992,23.39513397216797,48.06731796264648,42.80599594116211,66.71614837646484,18.9251651763916,25.250404357910156,22.835411071777344,44.1075153531352
2018-03-01,30.93421173095703,72.01883697509766,24.26909446716309,23.36007308959961,47.55000305175781,42.70981979370117,65.41056823730469,18.92902374267578,24.99209213256836,22.72164535522461,43.48824369317233
2018-03-02,31.229522705078125,72.74945068359375,24.32897567749023,23.468740463256836,47.59619903564453,43.07048034667969,65.39313507080078,18.878881454467773,24.96669006347656,22.64580535888672,43.627481264566775
2018-03-05,31.54790687561035,73.41047668457031,24.67115020751953,23.717632293701172,48.16429901123047,43.44716262817383,66.17650604248047,19.264631271362305,25.29698181152344,22.964336395263672,44.534292470265626
2018-03-06,31.617111206054688,73.30611419677734,24.77380752563477,23.73164939880371,48.496856689453125,43.479217529296875,66.47245788574219,19.00617790222168,25.57645797729492,23.055339813232425,44.36108972415982
2018-03-07,31.79246711730957,73.68011474609375,24.73103141784668,23.552879333496097,48.1689338684082,43.08650970458984,66.46375274658203,18.863452911376953,25.483295440673828,23.15393447875977,44.85913603985116
2018-03-08,31.93088722229004,74.17591857910156,24.808025360107425,23.545862197875977,48.321346282958984,43.479217529296875,66.81190490722656,19.0023193359375,25.50447654724121,23.335954666137695,44.94515187988481
